urlid,label
5865,0.662
782,0.334
6962,0.983
7640,0.151
3589,0.291
6719,0.536
3905,0.235
9841,0.954
7447,0.174
4776,0.678
2879,0.965
2620,0.5
10479,0.224
1105,0.412
1849,0.265
8286,0.918
8344,0.768
10486,0.982
8661,0.971
7188,0.303
1433,0.854
677,0.707
469,0.935
6988,0.228
8024,0.563
6896,0.323
9154,0.477
342,0.927
50,0.592
983,0.14
6933,0.069
8271,0.237
5602,0.144
4505,0.07
4966,0.846
2390,0.26
6736,0.58
4660,0.91
7560,0.711
3840,0.573
5823,0.808
5789,0.841
1595,0.028
6770,0.92
3522,0.952
5584,0.949
8323,0.817
3862,0.686
373,0.329
7345,0.631
7708,0.79
1398,0.805
4298,0.141
7467,0.244
1878,0.764
1832,0.329
625,0.041
7438,0.164
9961,0.996
7117,0.105
8190,0.13
1713,0.625
949,0.728
9246,0.033
2326,0.139
8942,0.443
4458,0.706
4659,0.529
9522,0.228
2497,0.743
9836,0.486
3808,0.867
5575,0.802
5714,0.07
2490,0.707
6812,0.557
4335,0.119
10014,0.889
5889,0.934
482,0.528
8082,0.214
5856,0.968
8866,0.456
2624,0.773
1371,0.781
4436,0.053
2972,0.62
3638,0.857
6249,0.562
7602,0.308
9624,0.989
7567,0.517
6578,0.162
7590,0.802
8590,0.616
10520,0.946
1906,0.35
1373,0.078
1601,0.891
4754,0.462
8208,0.213
1658,0.817
1352,0.834
8143,0.963
7760,0.714
7836,0.965
9769,0.384
503,0.809
4909,0.135
7162,0.234
10035,0.57
1992,0.57
6133,0.29
8519,0.564
1879,0.934
7107,0.49
1225,0.414
2451,0.88
8252,0.121
9214,0.355
4850,0.963
5891,0.197
5274,0.114
8623,0.395
562,0.903
860,0.116
4199,0.772
7616,0.338
10544,0.602
1567,0.74
6552,0.34
954,0.021
111,0.476
7036,0.692
1995,0.937
7095,0.825
10180,0.484
6872,0.78
4805,0.985
355,0.428
8097,0.879
9271,0.888
431,0.447
1646,0.646
143,0.759
3436,0.333
150,0.712
9745,0.567
715,0.45
578,0.549
8684,0.91
1186,0.845
9115,0.503
9239,0.224
5461,0.787
5424,0.663
1349,0.8
609,0.9
7569,0.651
1622,0.352
6541,0.504
9873,0.692
305,0.304
6041,0.389
5360,0.595
8445,0.712
7260,0.225
4526,0.862
138,0.414
168,0.093
7888,0.594
4639,0.978
867,0.293
9673,0.817
710,0.263
4749,0.102
4716,0.099
410,0.878
2155,0.963
3289,0.078
7774,0.011
1200,0.688
9057,0.364
2261,0.354
9612,0.279
4987,0.556
3605,0.944
5068,0.816
4474,0.896
5831,0.839
4729,0.375
10060,0.637
6895,0.532
3791,0.956
7910,0.12
4209,0.035
4984,0.778
1773,0.574
2101,0.611
7251,0.303
2887,0.491
875,0.711
8185,0.436
9688,0.944
5342,0.209
6802,0.653
3077,0.426
712,0.044
3026,0.5
2640,0.049
4872,0.321
3334,0.884
2431,0.309
9218,0.185
7417,0.829
3563,0.977
1006,0.842
8940,0.456
7703,0.087
2686,0.146
8159,0.865
37,0.105
65,0.276
1910,0.857
2202,0.753
9717,0.775
2388,0.813
2365,0.071
5072,0.512
4614,0.442
6955,0.182
4094,0.219
3319,0.832
1456,0.978
5381,0.942
4479,0.789
4766,0.369
6076,0.956
8064,0.179
3416,0.965
4892,0.258
9942,0.856
9215,0.351
4506,0.895
9275,0.284
1306,0.939
6828,0.97
8368,0.751
7205,0.446
360,0.993
3386,0.549
3835,0.553
1305,0.135
7963,0.138
2073,0.639
4230,0.353
9012,0.07
2723,0.919
6788,0.787
7945,0.065
4868,0.364
6597,0.711
7323,0.236
6229,0.492
3427,0.69
7727,0.048
4707,0.771
2547,0.826
4523,0.96
9648,0.568
1084,0.208
3327,0.9
5591,0.25
186,0.224
2938,0.427
9912,0.721
6047,0.583
2417,0.741
10533,0.035
1137,0.34
1533,0.883
9233,0.497
43,0.34
8986,0.225
6000,0.949
480,0.338
2457,0.52
5362,0.176
7722,0.578
7940,0.38
6104,0.865
8853,0.206
5813,0.892
4769,0.412
2544,0.783
6379,0.228
5262,0.196
9885,0.275
10081,0.575
1315,0.363
3388,0.117
3473,0.975
2117,0.456
9411,0.0
9379,0.764
4236,0.118
2049,0.028
4786,0.415
1604,0.671
7659,0.107
8152,0.454
5417,0.615
160,0.253
6826,0.884
1815,0.517
3647,0.858
5605,0.184
3526,0.883
3854,0.851
1053,0.449
2411,0.058
6015,0.845
2089,0.806
7745,0.996
6816,0.262
3934,0.445
6547,0.33
3758,0.463
7158,0.773
1584,0.261
2982,0.68
7679,0.922
5286,0.829
3776,0.861
1235,0.746
6294,0.784
1012,0.7
10318,0.125
7134,0.429
5180,0.96
2108,0.449
3639,0.487
6729,0.428
2472,0.559
10235,0.528
190,0.782
4713,0.689
6827,0.543
6108,0.607
1114,0.893
4848,0.179
606,0.486
1573,0.828
8546,0.411
5193,0.063
2936,0.082
5104,0.932
6712,0.275
3055,0.489
74,0.767
7726,0.89
9183,0.53
162,0.362
7288,0.62
8657,0.961
1295,0.375
